Date,Open,High,Low,Close,Volume
2025-02-25 05:35:00,2939.78,2940.54,2939.21,2940.09,270
2025-02-25 05:40:00,2940.08,2940.88,2938.19,2938.47,454
2025-02-25 05:45:00,2938.5,2939.25,2937.61,2938.77,489
2025-02-25 05:50:00,2938.66,2939.78,2938.11,2939.24,254
2025-02-25 05:55:00,2939.29,2939.29,2936.47,2937.7,453
2025-02-25 06:00:00,2937.51,2937.61,2936.23,2936.87,302
2025-02-25 06:05:00,2937.02,2937.79,2936.49,2937.14,277
2025-02-25 06:10:00,2937.17,2937.33,2936.47,2936.59,323
2025-02-25 06:15:00,2936.57,2936.88,2935.59,2936.62,331
2025-02-25 06:20:00,2936.66,2938.36,2936.46,2937.22,237
2025-02-25 06:25:00,2937.23,2937.32,2935.19,2935.5,378
2025-02-25 06:30:00,2935.55,2935.55,2934.06,2935.14,445
2025-02-25 06:35:00,2935.04,2935.19,2934.03,2934.28,259
2025-02-25 06:40:00,2934.25,2935.33,2934.05,2935.28,262
2025-02-25 06:45:00,2935.27,2935.89,2933.38,2935.06,474
2025-02-25 06:50:00,2934.97,2937.12,2934.36,2936.77,292
2025-02-25 06:55:00,2936.86,2936.93,2935.39,2935.62,329
2025-02-25 07:00:00,2935.56,2935.71,2934.52,2935.02,321
2025-02-25 07:05:00,2935.05,2938.02,2934.8,2937.88,336
2025-02-25 07:10:00,2938.0,2940.09,2937.17,2938.9,528
2025-02-25 07:15:00,2938.79,2939.15,2937.74,2937.89,286
2025-02-25 07:20:00,2937.75,2937.97,2935.8,2937.02,435
2025-02-25 07:25:00,2936.97,2938.38,2936.75,2937.66,400
2025-02-25 07:30:00,2937.71,2938.73,2936.9,2937.6,360
2025-02-25 07:35:00,2937.58,2937.58,2936.33,2937.27,426
2025-02-25 07:40:00,2937.08,2937.3,2933.09,2933.46,582
2025-02-25 07:45:00,2933.37,2934.39,2932.25,2932.46,574
2025-02-25 07:50:00,2932.52,2932.91,2930.5,2932.03,628
2025-02-25 07:55:00,2932.1,2933.23,2930.48,2931.51,670
2025-02-25 08:00:00,2931.45,2933.04,2929.45,2931.23,708
2025-02-25 08:05:00,2931.15,2932.72,2930.19,2932.23,586
2025-02-25 08:10:00,2932.28,2933.5,2931.7,2932.96,514
2025-02-25 08:15:00,2932.99,2933.43,2931.6,2932.34,399
2025-02-25 08:20:00,2932.25,2933.57,2931.82,2932.44,344
2025-02-25 08:25:00,2932.5,2934.71,2931.96,2934.48,363
2025-02-25 08:30:00,2934.63,2935.4,2934.09,2935.11,383
2025-02-25 08:35:00,2935.06,2939.03,2934.86,2938.64,561
2025-02-25 08:40:00,2938.68,2941.1,2938.57,2940.47,527
2025-02-25 08:45:00,2940.4,2941.06,2938.55,2939.51,434
2025-02-25 08:50:00,2939.54,2941.51,2939.32,2940.99,437
2025-02-25 08:55:00,2940.94,2942.2,2940.7,2941.24,376
2025-02-25 09:00:00,2941.12,2942.26,2939.61,2939.85,489
2025-02-25 09:05:00,2939.74,2941.0,2939.68,2939.87,275
2025-02-25 09:10:00,2939.77,2940.27,2937.31,2940.27,380
2025-02-25 09:15:00,2940.3,2940.91,2939.5,2939.93,458
2025-02-25 09:20:00,2940.1,2940.72,2939.49,2939.49,223
2025-02-25 09:25:00,2939.54,2940.26,2939.07,2939.1,173
2025-02-25 09:30:00,2939.06,2941.14,2939.01,2940.61,292
