Date,Open,High,Low,Close,Volume
6/11/2004,384,384.8,382.8,384.1,272
6/14/2004,384.3,385.8,381.8,382.8,1902
6/15/2004,382.8,388.8,381.1,388.6,1951
6/16/2004,387.1,389.8,382.6,383.8,2014
6/17/2004,383.6,389.3,383,387.6,1568
6/18/2004,388.6,395.8,385.8,394.3,2257
6/21/2004,394.3,396.8,392.1,393.1,1674
6/22/2004,392.8,396.3,392.3,394.1,1407
6/23/2004,394,396.6,392.3,395.6,1829
6/24/2004,394,402.8,393.1,401.1,1991
6/25/2004,402,402.8,400.1,401.1,1608
6/28/2004,401.8,404.6,398.8,399.8,2124
6/29/2004,399.8,400.5,390.3,391.3,2175
6/30/2004,391.5,396.3,391.1,393.3,2131
7/1/2004,391.6,395.8,391.5,395,1736
7/2/2004,395.1,399.8,391.3,397.8,1516
7/6/2004,397.8,398.8,388.5,392.1,1008
7/7/2004,394.1,403.1,394.1,401.8,792
7/8/2004,401.8,408.6,399.3,407.3,914
7/9/2004,407.3,407.8,405,407.1,793
7/12/2004,407.3,408.3,405,406.6,866
7/13/2004,407.1,407.3,399.6,403.1,1589
7/14/2004,400.8,405.8,400.8,404.8,990
7/15/2004,404.3,405.1,400.8,403.1,1900
7/16/2004,403.1,407.1,401.8,406.1,882
7/19/2004,405.5,407.5,403.8,404.8,858
7/20/2004,405,406.3,398.6,400.8,1707
7/21/2004,399.3,401.6,393.8,396.1,1908
7/22/2004,396,397.8,392.8,393.3,1907
7/23/2004,394.3,395,386.5,389.3,1899
7/26/2004,389.3,392.1,388.1,389.8,1992
7/27/2004,390.5,393.1,385.1,386.6,3054
7/28/2004,386.1,389.6,384.5,387.3,3205
7/29/2004,387.3,390.8,385.3,387.1,2521
7/30/2004,387.1,391.8,386.3,390.5,2803
8/2/2004,390.3,393.8,390.3,391.1,1926
8/3/2004,391.3,394.3,388.1,393.1,3214
8/4/2004,393.8,393.8,389.6,391.8,3037
8/5/2004,391.3,393,389.8,391.8,1900
8/6/2004,391.8,400.3,390.8,398.8,1878
8/9/2004,399.1,400.3,397.1,399.8,1449
8/10/2004,399.6,400.6,397.3,399.1,1442
8/11/2004,398.1,399.1,392.3,394.6,1523
8/12/2004,395.1,397.3,392.8,393.3,1730
8/13/2004,393.5,399.1,391.8,398.1,2692
8/16/2004,398.3,403.1,397.6,401.3,1423
8/17/2004,402.1,404.8,399.6,404.8,1031
8/18/2004,403.8,404.8,401.1,403.8,641
8/19/2004,403.8,407.5,403.1,406.1,1445
8/20/2004,406.1,413.8,404.6,412.2,1898
8/23/2004,411.8,411.8,407.8,409.3,1919
8/24/2004,409.6,409.6,401.6,401.6,1996
8/25/2004,401.8,407.6,401.6,406.8,3058
8/26/2004,406.3,408.8,404.1,406.3,1680
8/27/2004,406.5,408.5,400.8,402.3,2561
8/30/2004,402.3,408.6,402.1,408.1,940
8/31/2004,406.8,410.8,406.3,409.3,1100
9/1/2004,409.6,409.8,405.8,407.8,1866
9/2/2004,407.8,408.3,404.8,405.6,1236
9/3/2004,405.1,406.3,398.6,399.8,1547
9/7/2004,400.6,401.6,396.3,397.8,1421
9/8/2004,397.8,399.8,394.3,399.1,2418
9/9/2004,398.3,400.3,396.6,397.6,2887
9/10/2004,397.8,402.3,397.5,402.3,2744
9/13/2004,401.1,404.3,398.1,403.3,2562
9/14/2004,403.3,406.6,401.6,405.6,1495
9/15/2004,405.3,405.5,402.1,404.6,2017
9/16/2004,403.3,405.3,401.6,403.8,2710
9/17/2004,403.8,406.6,402.5,405,2792
9/20/2004,404.8,405.3,402.8,404.3,1873
9/21/2004,404.5,409.7,403.5,409.3,1498
9/22/2004,408.3,409.3,403.5,406.3,2461
9/23/2004,406.3,411.6,405.6,410.1,2355
9/24/2004,410.1,411,405.8,407.1,1891
9/27/2004,407.3,409.6,406.6,408.8,988
9/28/2004,408.3,412.6,408,411.6,2444
9/29/2004,411.7,413.7,410.2,412.1,3798
9/30/2004,412.2,418.6,410.5,417.8,4044
10/1/2004,417.8,419.3,416.3,419,1356
10/4/2004,418.3,418.8,411.3,418.8,936
10/5/2004,413.6,419.3,412.3,418.3,869
10/6/2004,418.6,419.8,415.6,417.3,1059
